[2025-07-25T13:03:36.307+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-25T13:03:36.324+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-24T08:15:00+00:00 [queued]>
[2025-07-25T13:03:36.333+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-24T08:15:00+00:00 [queued]>
[2025-07-25T13:03:36.333+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 12
[2025-07-25T13:03:36.344+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-24 08:15:00+00:00
[2025-07-25T13:03:36.353+0000] {standard_task_runner.py:63} INFO - Started process 32125 to run task
[2025-07-25T13:03:36.357+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-24T08:15:00+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpgft4m0zi']
[2025-07-25T13:03:36.360+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask save_database_1D
[2025-07-25T13:03:36.410+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-24T08:15:00+00:00 [running]> on host 38b84a7f4253
[2025-07-25T13:03:36.702+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-24T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-24T08:15:00+00:00'
[2025-07-25T13:03:36.702+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-25T13:03:36.714+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-25T13:03:40.019+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-07-25T13:03:40.244+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-07-25T13:03:40.247+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-07-25T13:03:42.604+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-07-25T13:03:42.874+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-07-25T13:03:43.406+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-07-25T13:03:45.641+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-07-25T13:03:45.894+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-07-25T13:03:46.141+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-07-25T13:03:48.809+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-07-25T13:03:48.830+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-07-25T13:03:49.157+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-07-25T13:03:51.420+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-07-25T13:03:51.793+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-07-25T13:03:52.115+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-07-25T13:03:54.242+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-07-25T13:03:54.750+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-07-25T13:03:55.214+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-07-25T13:03:56.739+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-07-25T13:03:57.247+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-07-25T13:03:58.215+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-07-25T13:03:59.504+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-07-25T13:04:00.066+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-07-25T13:04:00.661+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-07-25T13:04:02.535+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-07-25T13:04:03.022+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
