[2025-08-27T07:36:07.585+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-27T07:36:07.607+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-31T08:15:00+00:00 [queued]>
[2025-08-27T07:36:07.616+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-31T08:15:00+00:00 [queued]>
[2025-08-27T07:36:07.617+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-27T07:36:07.635+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-31 08:15:00+00:00
[2025-08-27T07:36:07.642+0000] {standard_task_runner.py:63} INFO - Started process 1498842 to run task
[2025-08-27T07:36:07.647+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveeboardcq', 'save_database_1D', 'scheduled__2025-07-31T08:15:00+00:00', '--job-id', '28174', '--raw', '--subdir', 'DAGS_FOLDER/dag_eboard_cq.py', '--cfg-path', '/tmp/tmp6wqb4oug']
[2025-08-27T07:36:07.650+0000] {standard_task_runner.py:91} INFO - Job 28174: Subtask save_database_1D
[2025-08-27T07:36:07.708+0000] {task_command.py:426} INFO - Running <TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-31T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-27T07:36:08.422+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveeboardcq' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T08:15:00+00:00'
[2025-08-27T07:36:08.423+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-27T07:36:08.442+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-27T07:36:11.240+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-27T07:36:13.145+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-27T07:36:13.344+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-27T07:36:14.142+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-27T07:36:15.937+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-27T07:36:16.411+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-27T07:36:18.853+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-27T07:36:19.235+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-27T07:36:19.492+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-27T07:36:21.898+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-27T07:36:22.620+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-27T07:36:22.634+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-08-27T07:36:24.539+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-08-27T07:36:25.334+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-08-27T07:36:25.539+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-08-27T07:36:27.413+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-08-27T07:36:28.410+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-08-27T07:36:28.623+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-08-27T07:36:29.982+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-08-27T07:36:31.150+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-08-27T07:36:31.584+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-08-27T07:36:33.202+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-08-27T07:36:33.949+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-08-27T07:36:34.128+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-08-27T07:36:37.017+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCG
[2025-08-27T07:36:38.769+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
[2025-08-27T07:36:38.934+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-08-27T07:36:39.734+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCM
[2025-08-27T07:36:41.816+0000] {History_Day.py:51} INFO - ✅ Đã lưu BFC
[2025-08-27T07:36:41.925+0000] {History_Day.py:51} INFO - ✅ Đã lưu BHN
[2025-08-27T07:36:42.775+0000] {History_Day.py:51} INFO - ✅ Đã lưu BIC
[2025-08-27T07:36:44.685+0000] {History_Day.py:51} INFO - ✅ Đã lưu BKG
[2025-08-27T07:36:44.858+0000] {History_Day.py:51} INFO - ✅ Đã lưu BID
[2025-08-27T07:36:46.376+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMC
[2025-08-27T07:36:48.016+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMI
[2025-08-27T07:36:48.539+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMP
[2025-08-27T07:36:49.695+0000] {History_Day.py:51} INFO - ✅ Đã lưu BRC
[2025-08-27T07:36:51.421+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSI
[2025-08-27T07:36:51.678+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSR
[2025-08-27T07:36:52.818+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTP
[2025-08-27T07:36:54.393+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTT
[2025-08-27T07:36:54.875+0000] {History_Day.py:51} INFO - ✅ Đã lưu BVH
[2025-08-27T07:36:55.494+0000] {History_Day.py:51} INFO - ✅ Đã lưu BWE
[2025-08-27T07:36:57.481+0000] {History_Day.py:51} INFO - ✅ Đã lưu C32
[2025-08-27T07:36:58.063+0000] {History_Day.py:51} INFO - ✅ Đã lưu C47
[2025-08-27T07:36:58.721+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCI
[2025-08-27T07:37:00.713+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCL
[2025-08-27T07:37:01.034+0000] {History_Day.py:51} INFO - ✅ Đã lưu CDC
[2025-08-27T07:37:01.841+0000] {History_Day.py:51} INFO - ✅ Đã lưu CHP
[2025-08-27T07:37:03.769+0000] {History_Day.py:51} INFO - ✅ Đã lưu CIG
[2025-08-27T07:37:04.515+0000] {History_Day.py:51} INFO - ✅ Đã lưu CKG
[2025-08-27T07:37:04.518+0000] {History_Day.py:51} INFO - ✅ Đã lưu CII
[2025-08-27T07:37:07.240+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLC
[2025-08-27T07:37:07.611+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLW
[2025-08-27T07:37:07.793+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLL
[2025-08-27T07:37:10.153+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMG
[2025-08-27T07:37:10.608+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMV
[2025-08-27T07:37:11.304+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMX
[2025-08-27T07:37:12.964+0000] {History_Day.py:51} INFO - ✅ Đã lưu CNG
[2025-08-27T07:37:13.972+0000] {History_Day.py:51} INFO - ✅ Đã lưu COM
[2025-08-27T07:37:14.352+0000] {History_Day.py:51} INFO - ✅ Đã lưu CRC
[2025-08-27T07:37:15.591+0000] {History_Day.py:51} INFO - ✅ Đã lưu CRE
[2025-08-27T07:37:17.190+0000] {History_Day.py:51} INFO - ✅ Đã lưu CSM
[2025-08-27T07:37:17.408+0000] {History_Day.py:51} INFO - ✅ Đã lưu CSV
