[2025-07-30T08:15:02.183+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-30T08:15:02.198+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-29T08:15:00+00:00 [queued]>
[2025-07-30T08:15:02.205+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-29T08:15:00+00:00 [queued]>
[2025-07-30T08:15:02.206+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-07-30T08:15:02.216+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-29 08:15:00+00:00
[2025-07-30T08:15:02.224+0000] {standard_task_runner.py:63} INFO - Started process 60815 to run task
[2025-07-30T08:15:02.229+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-29T08:15:00+00:00', '--job-id', '1109', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp4wuk5p33']
[2025-07-30T08:15:02.232+0000] {standard_task_runner.py:91} INFO - Job 1109: Subtask save_database_1D
[2025-07-30T08:15:02.281+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-29T08:15:00+00:00 [running]> on host 85cf6d18c15a
[2025-07-30T08:15:02.576+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-29T08:15:00+00:00'
[2025-07-30T08:15:02.577+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-30T08:15:02.588+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-30T08:15:05.706+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-07-30T08:15:06.043+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-07-30T08:15:06.117+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-07-30T08:15:08.615+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
