[2025-07-23T09:00:25.282+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.286+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BHN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.302+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BIC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.457+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.471+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.572+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.601+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.607+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.619+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.620+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.678+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BTP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.873+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý C47: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.952+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CCI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.967+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.984+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BVH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.009+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý C32: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.039+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BWE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.051+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.245+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.294+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.301+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CII: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.337+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CHP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.416+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.442+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.519+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.579+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.603+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.676+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.736+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.742+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý COM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.752+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.828+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CNG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.877+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.936+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.045+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.090+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.115+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.127+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.163+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.207+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.275+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý D2D: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.297+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CVT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.377+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.404+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.416+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.472+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.515+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.605+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.728+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.732+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.748+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DC4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.835+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.838+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.850+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.998+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.011+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.021+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.038+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DLG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.169+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.178+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.188+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.210+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.214+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.345+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DQC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.401+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.543+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.605+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.618+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.671+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.686+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.755+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.837+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DVP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.838+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.895+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.912+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:28.989+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.008+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý E1VFVN30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.024+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.185+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.187+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.205+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EIB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.229+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ELC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.320+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.418+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.446+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.449+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.491+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.548+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.590+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:29.649+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FRT: Expecting value: line 1 column 1 (char 0)
