[2025-07-23T08:43:45.405+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BHN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.527+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BIC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.549+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.575+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.579+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.670+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.774+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.827+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.836+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.871+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:45.914+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BTP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.001+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.158+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BVH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.190+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý C32: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.205+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BWE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.229+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý C47: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.251+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CCI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.398+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.507+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CDC: Expecting value: line 1 column 1 (char 0)
