[2025-08-29T08:15:02.196+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-29T08:15:02.216+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-28T08:15:00+00:00 [queued]>
[2025-08-29T08:15:02.228+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-28T08:15:00+00:00 [queued]>
[2025-08-29T08:15:02.228+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-29T08:15:02.250+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-08-28 08:15:00+00:00
[2025-08-29T08:15:02.269+0000] {standard_task_runner.py:63} INFO - Started process 1851173 to run task
[2025-08-29T08:15:02.273+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-08-28T08:15:00+00:00', '--job-id', '33383', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpfnt0v0me']
[2025-08-29T08:15:02.277+0000] {standard_task_runner.py:91} INFO - Job 33383: Subtask save_database_1D
[2025-08-29T08:15:02.355+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-28T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-29T08:15:02.722+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-08-28T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-28T08:15:00+00:00'
[2025-08-29T08:15:02.723+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-29T08:15:02.737+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-29T08:15:05.684+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-29T08:15:05.992+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-29T08:15:05.997+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-29T08:15:08.248+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-29T08:15:08.817+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-29T08:15:09.361+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-29T08:15:11.409+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-29T08:15:11.931+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-29T08:15:12.029+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-29T08:15:14.370+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-29T08:15:14.871+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-29T08:15:15.228+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
