[2025-08-18T08:15:01.439+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-18T08:15:01.460+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-15T08:15:00+00:00 [queued]>
[2025-08-18T08:15:01.470+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-15T08:15:00+00:00 [queued]>
[2025-08-18T08:15:01.471+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-18T08:15:01.485+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-08-15 08:15:00+00:00
[2025-08-18T08:15:01.494+0000] {standard_task_runner.py:63} INFO - Started process 145489 to run task
[2025-08-18T08:15:01.499+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-08-15T08:15:00+00:00', '--job-id', '9149', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpf2338dnc']
[2025-08-18T08:15:01.502+0000] {standard_task_runner.py:91} INFO - Job 9149: Subtask save_database_1D
[2025-08-18T08:15:01.559+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-08-15T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-18T08:15:01.913+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-08-15T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-15T08:15:00+00:00'
[2025-08-18T08:15:01.915+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-18T08:15:01.942+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-18T08:15:04.862+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-18T08:15:05.247+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-18T08:15:05.427+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-18T08:15:07.664+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-18T08:15:08.189+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-18T08:15:08.607+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-18T08:15:11.576+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-18T08:15:11.719+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-18T08:15:11.746+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-18T08:15:14.772+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-18T08:15:14.852+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-18T08:15:15.764+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-08-18T08:15:17.594+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-08-18T08:15:18.032+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-08-18T08:15:18.892+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-08-18T08:15:21.315+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-08-18T08:15:21.527+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-08-18T08:15:22.269+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-08-18T08:15:24.201+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-08-18T08:15:24.436+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-08-18T08:15:25.524+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-08-18T08:15:27.339+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-08-18T08:15:27.577+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-08-18T08:15:28.301+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-08-18T08:15:31.141+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
[2025-08-18T08:15:31.550+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-08-18T08:15:31.741+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCG
[2025-08-18T08:15:33.990+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCM
[2025-08-18T08:15:34.920+0000] {History_Day.py:51} INFO - ✅ Đã lưu BFC
[2025-08-18T08:15:34.934+0000] {History_Day.py:51} INFO - ✅ Đã lưu BHN
[2025-08-18T08:15:36.990+0000] {History_Day.py:51} INFO - ✅ Đã lưu BIC
[2025-08-18T08:15:37.950+0000] {History_Day.py:51} INFO - ✅ Đã lưu BKG
