[2025-09-03T08:15:02.071+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-09-03T08:15:02.090+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-02T08:15:00+00:00 [queued]>
[2025-09-03T08:15:02.099+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-02T08:15:00+00:00 [queued]>
[2025-09-03T08:15:02.100+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-09-03T08:15:02.114+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-09-02 08:15:00+00:00
[2025-09-03T08:15:02.121+0000] {standard_task_runner.py:63} INFO - Started process 2711089 to run task
[2025-09-03T08:15:02.125+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-09-02T08:15:00+00:00', '--job-id', '69458', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpw42xq2r3']
[2025-09-03T08:15:02.129+0000] {standard_task_runner.py:91} INFO - Job 69458: Subtask save_database_1
[2025-09-03T08:15:02.179+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-02T08:15:00+00:00 [running]> on host 1877907bc043
[2025-09-03T08:15:02.272+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-09-02T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-02T08:15:00+00:00'
[2025-09-03T08:15:02.273+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-09-03T08:15:02.287+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-09-03T08:15:05.253+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-09-03T08:15:08.852+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-09-03T08:15:08.920+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-09-03T08:15:09.201+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-09-03T08:15:12.073+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
[2025-09-03T08:15:15.190+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABS
[2025-09-03T08:15:16.503+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-09-03T08:15:16.861+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-09-03T08:15:18.557+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-09-03T08:15:20.116+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-09-03T08:15:20.236+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-09-03T08:15:21.589+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-09-03T08:15:27.949+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-09-03T08:15:28.470+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-09-03T08:15:28.536+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-09-03T08:15:36.093+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-09-03T08:15:36.858+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-09-03T08:15:37.565+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-09-03T08:15:39.759+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-09-03T08:15:43.479+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-09-03T08:15:44.926+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-09-03T08:15:44.965+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-09-03T08:15:47.468+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
[2025-09-03T08:15:47.863+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-09-03T08:15:50.448+0000] {History_Min.py:52} INFO - ✅ Đã lưu BAF
[2025-09-03T08:15:52.355+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCE
[2025-09-03T08:15:54.345+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCG
[2025-09-03T08:15:56.705+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCM
[2025-09-03T08:15:57.515+0000] {History_Min.py:52} INFO - ✅ Đã lưu BHN
[2025-09-03T08:15:59.046+0000] {History_Min.py:52} INFO - ✅ Đã lưu BFC
[2025-09-03T08:16:02.515+0000] {History_Min.py:52} INFO - ✅ Đã lưu BIC
[2025-09-03T08:16:03.796+0000] {History_Min.py:52} INFO - ✅ Đã lưu BID
[2025-09-03T08:16:04.575+0000] {History_Min.py:52} INFO - ✅ Đã lưu BKG
[2025-09-03T08:16:10.641+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMC
[2025-09-03T08:16:12.607+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMI
[2025-09-03T08:16:12.953+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMP
[2025-09-03T08:16:13.528+0000] {History_Min.py:52} INFO - ✅ Đã lưu BRC
[2025-09-03T08:16:18.653+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTP
[2025-09-03T08:16:19.553+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSI
[2025-09-03T08:16:20.963+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSR
[2025-09-03T08:16:21.136+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTT
[2025-09-03T08:16:25.624+0000] {History_Min.py:52} INFO - ✅ Đã lưu C32
[2025-09-03T08:16:26.395+0000] {History_Min.py:52} INFO - ✅ Đã lưu BVH
[2025-09-03T08:16:27.968+0000] {History_Min.py:52} INFO - ✅ Đã lưu BWE
[2025-09-03T08:16:29.116+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCI
[2025-09-03T08:16:29.987+0000] {History_Min.py:52} INFO - ✅ Đã lưu C47
[2025-09-03T08:16:34.840+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCL
[2025-09-03T08:16:34.901+0000] {History_Min.py:52} INFO - ✅ Đã lưu CHP
[2025-09-03T08:16:35.802+0000] {History_Min.py:52} INFO - ✅ Đã lưu CDC
[2025-09-03T08:16:41.711+0000] {History_Min.py:52} INFO - ✅ Đã lưu CIG
[2025-09-03T08:16:42.655+0000] {History_Min.py:52} INFO - ✅ Đã lưu CKG
[2025-09-03T08:16:44.355+0000] {History_Min.py:52} INFO - ✅ Đã lưu CII
[2025-09-03T08:16:44.691+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLC
[2025-09-03T08:16:45.788+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLL
[2025-09-03T08:16:46.779+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLW
[2025-09-03T08:16:48.459+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMV
[2025-09-03T08:16:50.264+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMG
[2025-09-03T08:16:53.054+0000] {History_Min.py:52} INFO - ✅ Đã lưu COM
[2025-09-03T08:16:53.127+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMX
[2025-09-03T08:16:54.843+0000] {History_Min.py:52} INFO - ✅ Đã lưu CNG
[2025-09-03T08:17:00.585+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRC
[2025-09-03T08:17:00.764+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRE
[2025-09-03T08:17:02.352+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSM
[2025-09-03T08:17:09.274+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTD
[2025-09-03T08:17:09.618+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSV
[2025-09-03T08:17:09.709+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTF
[2025-09-03T08:17:18.093+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTR
[2025-09-03T08:17:18.122+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTI
[2025-09-03T08:17:18.476+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTG
[2025-09-03T08:17:20.637+0000] {History_Min.py:52} INFO - ✅ Đã lưu CVT
[2025-09-03T08:17:25.256+0000] {History_Min.py:52} INFO - ✅ Đã lưu D2D
[2025-09-03T08:17:25.814+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTS
[2025-09-03T08:17:27.257+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAH
[2025-09-03T08:17:27.913+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAT
[2025-09-03T08:17:31.746+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBT
[2025-09-03T08:17:32.456+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBC
[2025-09-03T08:17:34.122+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBD
[2025-09-03T08:17:39.064+0000] {History_Min.py:52} INFO - ✅ Đã lưu DC4
[2025-09-03T08:17:39.925+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCL
[2025-09-03T08:17:41.436+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCM
[2025-09-03T08:17:46.509+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGC
[2025-09-03T08:17:48.344+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGW
[2025-09-03T08:17:48.986+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHA
[2025-09-03T08:17:52.455+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHC
[2025-09-03T08:17:53.564+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHM
[2025-09-03T08:17:53.819+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHG
[2025-09-03T08:17:57.856+0000] {History_Min.py:52} INFO - ✅ Đã lưu DMC
[2025-09-03T08:18:00.355+0000] {History_Min.py:52} INFO - ✅ Đã lưu DIG
[2025-09-03T08:18:00.722+0000] {History_Min.py:52} INFO - ✅ Đã lưu DLG
[2025-09-03T08:18:02.957+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPG
[2025-09-03T08:18:07.080+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPR
[2025-09-03T08:18:07.789+0000] {History_Min.py:52} INFO - ✅ Đã lưu DQC
[2025-09-03T08:18:09.452+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPM
[2025-09-03T08:18:13.028+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRL
[2025-09-03T08:18:13.925+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRC
[2025-09-03T08:18:14.621+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRH
[2025-09-03T08:18:18.492+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSN
[2025-09-03T08:18:19.003+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSC
[2025-09-03T08:18:21.718+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTL
[2025-09-03T08:18:21.805+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTA
[2025-09-03T08:18:24.078+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSE
[2025-09-03T08:18:24.249+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTT
[2025-09-03T08:18:25.431+0000] {History_Min.py:52} INFO - ✅ Đã lưu DVP
[2025-09-03T08:18:29.848+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXV
[2025-09-03T08:18:31.886+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXS
[2025-09-03T08:18:32.147+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXG
[2025-09-03T08:18:35.787+0000] {History_Min.py:52} INFO - ✅ Đã lưu E1VFVN30
[2025-09-03T08:18:40.135+0000] {History_Min.py:52} INFO - ✅ Đã lưu ELC
[2025-09-03T08:18:40.569+0000] {History_Min.py:52} INFO - ✅ Đã lưu EIB
[2025-09-03T08:18:41.518+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVE
[2025-09-03T08:18:47.733+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVF
[2025-09-03T08:18:48.387+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVG
[2025-09-03T08:18:48.552+0000] {History_Min.py:52} INFO - ✅ Đã lưu FCM
[2025-09-03T08:18:51.109+0000] {History_Min.py:52} INFO - ✅ Đã lưu FDC
