[2025-09-05T08:15:02.102+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-09-05T08:15:02.120+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-04T08:15:00+00:00 [queued]>
[2025-09-05T08:15:02.131+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-04T08:15:00+00:00 [queued]>
[2025-09-05T08:15:02.132+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-09-05T08:15:02.144+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-09-04 08:15:00+00:00
[2025-09-05T08:15:02.152+0000] {standard_task_runner.py:63} INFO - Started process 3159029 to run task
[2025-09-05T08:15:02.158+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-09-04T08:15:00+00:00', '--job-id', '112223', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpo8pxrb26']
[2025-09-05T08:15:02.161+0000] {standard_task_runner.py:91} INFO - Job 112223: Subtask save_database_1
[2025-09-05T08:15:02.217+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-04T08:15:00+00:00 [running]> on host 1877907bc043
[2025-09-05T08:15:02.559+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-09-04T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-04T08:15:00+00:00'
[2025-09-05T08:15:02.560+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-09-05T08:15:02.587+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-09-05T08:15:06.168+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-09-05T08:15:08.805+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-09-05T08:15:09.340+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-09-05T08:15:09.946+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-09-05T08:15:12.723+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
[2025-09-05T08:15:15.614+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABS
[2025-09-05T08:15:16.956+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-09-05T08:15:17.620+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-09-05T08:15:18.859+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-09-05T08:15:20.780+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-09-05T08:15:20.940+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-09-05T08:15:21.702+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-09-05T08:15:29.066+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-09-05T08:15:29.416+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-09-05T08:15:29.593+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-09-05T08:15:37.842+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-09-05T08:15:38.268+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-09-05T08:15:38.585+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-09-05T08:15:41.262+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-09-05T08:15:45.348+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-09-05T08:15:46.366+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-09-05T08:15:46.524+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-09-05T08:15:49.242+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-09-05T08:15:49.378+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
