[2025-07-28T08:15:01.765+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-28T08:15:01.779+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-25T08:15:00+00:00 [queued]>
[2025-07-28T08:15:01.786+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-25T08:15:00+00:00 [queued]>
[2025-07-28T08:15:01.786+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-07-28T08:15:01.799+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-07-25 08:15:00+00:00
[2025-07-28T08:15:01.808+0000] {standard_task_runner.py:63} INFO - Started process 3934 to run task
[2025-07-28T08:15:01.813+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-07-25T08:15:00+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpw63m0c8o']
[2025-07-28T08:15:01.816+0000] {standard_task_runner.py:91} INFO - Job 71: Subtask save_database_1
[2025-07-28T08:15:01.873+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-25T08:15:00+00:00 [running]> on host 85cf6d18c15a
[2025-07-28T08:15:02.219+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-07-25T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-25T08:15:00+00:00'
[2025-07-28T08:15:02.220+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-28T08:15:02.231+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-28T08:15:08.924+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-07-28T08:15:12.646+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-07-28T08:15:12.705+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-07-28T08:15:13.920+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-07-28T08:15:15.732+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
[2025-07-28T08:15:20.954+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-07-28T08:15:22.010+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABS
[2025-07-28T08:15:22.193+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-07-28T08:15:24.550+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-07-28T08:15:25.434+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-07-28T08:15:26.181+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-07-28T08:15:27.646+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-07-28T08:15:32.162+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-07-28T08:15:34.385+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-07-28T08:15:35.052+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-07-28T08:15:38.127+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-07-28T08:15:41.606+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-07-28T08:15:42.821+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-07-28T08:15:44.717+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-07-28T08:15:46.102+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-07-28T08:15:51.612+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-07-28T08:15:51.768+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
[2025-07-28T08:15:52.204+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-07-28T08:15:54.470+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-07-28T08:15:56.267+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCE
[2025-07-28T08:16:01.306+0000] {History_Min.py:52} INFO - ✅ Đã lưu BAF
[2025-07-28T08:16:02.509+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCG
[2025-07-28T08:16:03.944+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCM
[2025-07-28T08:16:06.730+0000] {History_Min.py:52} INFO - ✅ Đã lưu BHN
[2025-07-28T08:16:10.365+0000] {History_Min.py:52} INFO - ✅ Đã lưu BIC
[2025-07-28T08:16:11.285+0000] {History_Min.py:52} INFO - ✅ Đã lưu BFC
[2025-07-28T08:16:13.217+0000] {History_Min.py:52} INFO - ✅ Đã lưu BID
[2025-07-28T08:16:15.589+0000] {History_Min.py:52} INFO - ✅ Đã lưu BKG
[2025-07-28T08:16:18.160+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMC
[2025-07-28T08:16:20.071+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMI
[2025-07-28T08:16:21.609+0000] {History_Min.py:52} INFO - ✅ Đã lưu BRC
[2025-07-28T08:16:22.293+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMP
[2025-07-28T08:16:27.195+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTP
[2025-07-28T08:16:27.425+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSI
[2025-07-28T08:16:29.663+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSR
[2025-07-28T08:16:29.796+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTT
[2025-07-28T08:16:33.981+0000] {History_Min.py:52} INFO - ✅ Đã lưu C32
[2025-07-28T08:16:34.900+0000] {History_Min.py:52} INFO - ✅ Đã lưu BVH
[2025-07-28T08:16:36.744+0000] {History_Min.py:52} INFO - ✅ Đã lưu BWE
[2025-07-28T08:16:37.779+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCI
[2025-07-28T08:16:38.563+0000] {History_Min.py:52} INFO - ✅ Đã lưu C47
[2025-07-28T08:16:42.945+0000] {History_Min.py:52} INFO - ✅ Đã lưu CHP
[2025-07-28T08:16:44.549+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCL
[2025-07-28T08:16:45.303+0000] {History_Min.py:52} INFO - ✅ Đã lưu CDC
[2025-07-28T08:16:49.379+0000] {History_Min.py:52} INFO - ✅ Đã lưu CIG
[2025-07-28T08:16:52.229+0000] {History_Min.py:52} INFO - ✅ Đã lưu CKG
[2025-07-28T08:16:52.879+0000] {History_Min.py:52} INFO - ✅ Đã lưu CII
[2025-07-28T08:16:52.884+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLC
[2025-07-28T08:16:55.608+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLL
[2025-07-28T08:16:55.628+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLW
[2025-07-28T08:16:58.688+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMV
[2025-07-28T08:16:59.826+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMG
[2025-07-28T08:17:01.979+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMX
[2025-07-28T08:17:02.744+0000] {History_Min.py:52} INFO - ✅ Đã lưu COM
[2025-07-28T08:17:04.606+0000] {History_Min.py:52} INFO - ✅ Đã lưu CNG
[2025-07-28T08:17:06.863+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRC
[2025-07-28T08:17:11.129+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRE
[2025-07-28T08:17:11.901+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSM
[2025-07-28T08:17:14.022+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSV
[2025-07-28T08:17:19.240+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTF
[2025-07-28T08:17:19.942+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTD
[2025-07-28T08:17:21.445+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTG
[2025-07-28T08:17:27.151+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTI
[2025-07-28T08:17:28.072+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTR
[2025-07-28T08:17:29.302+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTS
[2025-07-28T08:17:30.409+0000] {History_Min.py:52} INFO - ✅ Đã lưu CVT
[2025-07-28T08:17:33.652+0000] {History_Min.py:52} INFO - ✅ Đã lưu D2D
[2025-07-28T08:17:35.126+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAH
[2025-07-28T08:17:37.160+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAT
[2025-07-28T08:17:40.902+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBT
[2025-07-28T08:17:43.340+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBC
[2025-07-28T08:17:43.534+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBD
[2025-07-28T08:17:46.702+0000] {History_Min.py:52} INFO - ✅ Đã lưu DC4
[2025-07-28T08:17:49.062+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCL
[2025-07-28T08:17:54.374+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGC
[2025-07-28T08:17:55.466+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCM
[2025-07-28T08:17:56.617+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGW
[2025-07-28T08:18:01.276+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHA
[2025-07-28T08:18:02.792+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHG
[2025-07-28T08:18:03.001+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHC
[2025-07-28T08:18:04.949+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHM
[2025-07-28T08:18:09.272+0000] {History_Min.py:52} INFO - ✅ Đã lưu DMC
[2025-07-28T08:18:10.126+0000] {History_Min.py:52} INFO - ✅ Đã lưu DLG
[2025-07-28T08:18:10.633+0000] {History_Min.py:52} INFO - ✅ Đã lưu DIG
[2025-07-28T08:18:15.655+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPG
[2025-07-28T08:18:17.377+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPR
[2025-07-28T08:18:19.967+0000] {History_Min.py:52} INFO - ✅ Đã lưu DQC
[2025-07-28T08:18:20.104+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPM
