[2025-09-04T08:15:02.434+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-09-04T08:15:02.451+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-03T08:15:00+00:00 [queued]>
[2025-09-04T08:15:02.460+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-03T08:15:00+00:00 [queued]>
[2025-09-04T08:15:02.460+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-09-04T08:15:02.474+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-09-03 08:15:00+00:00
[2025-09-04T08:15:02.481+0000] {standard_task_runner.py:63} INFO - Started process 2949394 to run task
[2025-09-04T08:15:02.485+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-09-03T08:15:00+00:00', '--job-id', '95633', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp70zdp089']
[2025-09-04T08:15:02.489+0000] {standard_task_runner.py:91} INFO - Job 95633: Subtask save_database_1
[2025-09-04T08:15:02.544+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-09-03T08:15:00+00:00 [running]> on host 1877907bc043
[2025-09-04T08:15:02.640+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-09-03T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-03T08:15:00+00:00'
[2025-09-04T08:15:02.642+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-09-04T08:15:02.654+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-09-04T08:15:06.163+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-09-04T08:15:09.747+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-09-04T08:15:09.979+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-09-04T08:15:10.676+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-09-04T08:15:13.245+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
[2025-09-04T08:15:16.010+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABS
[2025-09-04T08:15:17.400+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-09-04T08:15:18.178+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-09-04T08:15:19.520+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-09-04T08:15:21.622+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-09-04T08:15:21.629+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-09-04T08:15:22.570+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-09-04T08:15:29.945+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-09-04T08:15:30.186+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-09-04T08:15:30.278+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-09-04T08:15:38.765+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-09-04T08:15:39.209+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-09-04T08:15:39.404+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-09-04T08:15:42.249+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-09-04T08:15:45.581+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-09-04T08:15:46.797+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-09-04T08:15:47.236+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-09-04T08:15:49.494+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
[2025-09-04T08:15:51.256+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-09-04T08:15:54.851+0000] {History_Min.py:52} INFO - ✅ Đã lưu BAF
[2025-09-04T08:15:54.879+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCE
[2025-09-04T08:15:57.360+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCG
[2025-09-04T08:16:01.470+0000] {History_Min.py:52} INFO - ✅ Đã lưu BHN
[2025-09-04T08:16:01.607+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCM
[2025-09-04T08:16:01.720+0000] {History_Min.py:52} INFO - ✅ Đã lưu BFC
[2025-09-04T08:16:08.086+0000] {History_Min.py:52} INFO - ✅ Đã lưu BIC
[2025-09-04T08:16:09.478+0000] {History_Min.py:52} INFO - ✅ Đã lưu BKG
[2025-09-04T08:16:10.698+0000] {History_Min.py:52} INFO - ✅ Đã lưu BID
[2025-09-04T08:16:14.885+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMC
[2025-09-04T08:16:16.428+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMI
[2025-09-04T08:16:18.130+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMP
[2025-09-04T08:16:18.335+0000] {History_Min.py:52} INFO - ✅ Đã lưu BRC
[2025-09-04T08:16:23.318+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSI
[2025-09-04T08:16:23.651+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTP
[2025-09-04T08:16:25.598+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSR
[2025-09-04T08:16:25.968+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTT
[2025-09-04T08:16:30.181+0000] {History_Min.py:52} INFO - ✅ Đã lưu BVH
[2025-09-04T08:16:30.360+0000] {History_Min.py:52} INFO - ✅ Đã lưu C32
[2025-09-04T08:16:32.045+0000] {History_Min.py:52} INFO - ✅ Đã lưu BWE
[2025-09-04T08:16:33.267+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCI
[2025-09-04T08:16:34.774+0000] {History_Min.py:52} INFO - ✅ Đã lưu C47
[2025-09-04T08:16:38.216+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCL
[2025-09-04T08:16:39.087+0000] {History_Min.py:52} INFO - ✅ Đã lưu CHP
[2025-09-04T08:16:39.928+0000] {History_Min.py:52} INFO - ✅ Đã lưu CDC
[2025-09-04T08:16:44.238+0000] {History_Min.py:52} INFO - ✅ Đã lưu CIG
[2025-09-04T08:16:45.859+0000] {History_Min.py:52} INFO - ✅ Đã lưu CKG
[2025-09-04T08:16:48.071+0000] {History_Min.py:52} INFO - ✅ Đã lưu CII
[2025-09-04T08:16:48.108+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLC
[2025-09-04T08:16:49.284+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLL
[2025-09-04T08:16:50.653+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLW
[2025-09-04T08:16:52.271+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMV
[2025-09-04T08:16:54.003+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMG
[2025-09-04T08:16:56.993+0000] {History_Min.py:52} INFO - ✅ Đã lưu COM
[2025-09-04T08:16:57.544+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMX
[2025-09-04T08:16:59.119+0000] {History_Min.py:52} INFO - ✅ Đã lưu CNG
[2025-09-04T08:17:03.334+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRC
[2025-09-04T08:17:05.419+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRE
[2025-09-04T08:17:06.456+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSM
[2025-09-04T08:17:11.790+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSV
[2025-09-04T08:17:13.016+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTD
[2025-09-04T08:17:13.333+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTF
[2025-09-04T08:17:19.972+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTG
[2025-09-04T08:17:21.133+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTI
[2025-09-04T08:17:21.525+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTR
[2025-09-04T08:17:24.002+0000] {History_Min.py:52} INFO - ✅ Đã lưu CVT
[2025-09-04T08:17:27.414+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTS
