[2025-07-24T11:05:47.324+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BMI
[2025-07-24T11:05:47.420+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BTT
[2025-07-24T11:05:47.491+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BWE
[2025-07-24T11:05:47.510+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BTP
[2025-07-24T11:05:47.516+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BVH
[2025-07-24T11:05:47.522+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho C47
[2025-07-24T11:05:47.540+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CCI
[2025-07-24T11:05:47.719+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CHP
[2025-07-24T11:05:47.731+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CII
[2025-07-24T11:05:47.753+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho C32
[2025-07-24T11:05:47.759+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLC
[2025-07-24T11:05:47.761+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CCL
[2025-07-24T11:05:47.845+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CIG
[2025-07-24T11:05:47.870+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CKG
[2025-07-24T11:05:47.892+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLL
[2025-07-24T11:05:47.970+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho COM
[2025-07-24T11:05:47.999+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLW
[2025-07-24T11:05:48.072+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMV
[2025-07-24T11:05:48.076+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CNG
[2025-07-24T11:05:48.080+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMG
[2025-07-24T11:05:48.099+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMX
[2025-07-24T11:05:48.104+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CRE
[2025-07-24T11:05:48.113+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CSV
[2025-07-24T11:05:48.232+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CRC
[2025-07-24T11:05:48.233+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CSM
[2025-07-24T11:05:48.257+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTG
[2025-07-24T11:05:48.263+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTD
[2025-07-24T11:05:48.381+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTF
[2025-07-24T11:05:48.413+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTI
[2025-07-24T11:05:48.510+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTR
[2025-07-24T11:05:48.519+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho D2D
[2025-07-24T11:05:48.541+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DAH
[2025-07-24T11:05:48.553+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTS
[2025-07-24T11:05:48.652+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBD
[2025-07-24T11:05:48.657+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CVT
[2025-07-24T11:05:48.680+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBC
[2025-07-24T11:05:48.690+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DCM
[2025-07-24T11:05:48.700+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DCL
[2025-07-24T11:05:48.812+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DC4
[2025-07-24T11:05:48.816+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHC
[2025-07-24T11:05:48.820+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBT
[2025-07-24T11:05:48.892+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DGW
[2025-07-24T11:05:48.935+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHG
[2025-07-24T11:05:48.994+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DGC
[2025-07-24T11:05:49.090+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DMC
[2025-07-24T11:05:49.100+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHA
[2025-07-24T11:05:49.153+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHM
[2025-07-24T11:05:49.186+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DQC
[2025-07-24T11:05:49.195+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DLG
[2025-07-24T11:05:49.201+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPG
[2025-07-24T11:05:49.214+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPM
[2025-07-24T11:05:49.221+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRL
[2025-07-24T11:05:49.228+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DIG
[2025-07-24T11:05:49.242+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRH
[2025-07-24T11:05:49.260+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPR
[2025-07-24T11:05:49.332+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRC
[2025-07-24T11:05:49.492+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CDC
[2025-07-24T11:05:49.505+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTA
[2025-07-24T11:05:49.549+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DVP
[2025-07-24T11:05:49.607+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSN
[2025-07-24T11:05:49.616+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSE
[2025-07-24T11:05:49.635+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSC
[2025-07-24T11:05:49.678+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTT
[2025-07-24T11:05:49.809+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXV
[2025-07-24T11:05:49.831+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho E1VFVN30
[2025-07-24T11:05:49.908+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVF
[2025-07-24T11:05:49.910+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTL
[2025-07-24T11:05:50.068+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXG
[2025-07-24T11:05:50.073+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXS
[2025-07-24T11:05:50.078+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVG
[2025-07-24T11:05:50.132+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FDC
[2025-07-24T11:05:50.136+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ELC
[2025-07-24T11:05:50.162+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EIB
[2025-07-24T11:05:50.198+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVE
[2025-07-24T11:05:50.203+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FMC
[2025-07-24T11:05:50.209+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FIT
[2025-07-24T11:05:50.233+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FCM
[2025-07-24T11:05:50.260+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FCN
[2025-07-24T11:05:50.265+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FIR
[2025-07-24T11:05:50.294+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DAT
[2025-07-24T11:05:50.319+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FPT
[2025-07-24T11:05:50.495+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF3
[2025-07-24T11:05:50.512+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF4
[2025-07-24T11:05:50.552+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEDCMID
[2025-07-24T11:05:50.580+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF5
[2025-07-24T11:05:50.585+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCVREIT
[2025-07-24T11:05:50.616+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FTS
[2025-07-24T11:05:50.678+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FRT
[2025-07-24T11:05:50.721+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEBFVND
[2025-07-24T11:05:50.738+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEIP100
[2025-07-24T11:05:50.767+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEABVND
[2025-07-24T11:05:50.803+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIV30
[2025-07-24T11:05:50.859+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEMAV30
[2025-07-24T11:05:50.863+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEFCV50
[2025-07-24T11:05:50.908+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSV50
[2025-07-24T11:05:50.914+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIVND
[2025-07-24T11:05:50.920+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIVFS
[2025-07-24T11:05:50.952+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GAS
[2025-07-24T11:05:51.077+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSV30
[2025-07-24T11:05:51.170+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEMAVND
[2025-07-24T11:05:51.230+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEVFVND
[2025-07-24T11:05:51.240+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GMD
[2025-07-24T11:05:51.291+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEVN100
[2025-07-24T11:05:51.309+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GIL
[2025-07-24T11:05:51.343+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSVFL
[2025-07-24T11:05:51.354+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUETCC50
[2025-07-24T11:05:51.450+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GDT
[2025-07-24T11:05:51.488+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAP
[2025-07-24T11:05:51.496+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEE
