[2025-07-24T11:09:45.973+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BWE
[2025-07-24T11:09:46.040+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho C47
[2025-07-24T11:09:46.115+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BSR
[2025-07-24T11:09:46.164+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CIG
[2025-07-24T11:09:46.169+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CKG
[2025-07-24T11:09:46.207+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CCL
[2025-07-24T11:09:46.254+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CCI
[2025-07-24T11:09:46.362+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BTT
[2025-07-24T11:09:46.418+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BRC
[2025-07-24T11:09:46.437+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLW
[2025-07-24T11:09:46.454+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BVH
[2025-07-24T11:09:46.507+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho C32
[2025-07-24T11:09:46.578+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CII
[2025-07-24T11:09:46.609+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CDC
[2025-07-24T11:09:46.728+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CHP
[2025-07-24T11:09:46.818+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMX
[2025-07-24T11:09:46.881+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLC
[2025-07-24T11:09:46.943+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CNG
[2025-07-24T11:09:46.990+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMG
[2025-07-24T11:09:47.012+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CMV
[2025-07-24T11:09:47.041+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho COM
[2025-07-24T11:09:47.098+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CLL
[2025-07-24T11:09:47.276+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CSM
[2025-07-24T11:09:47.299+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CRE
[2025-07-24T11:09:47.424+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CRC
[2025-07-24T11:09:47.585+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTD
[2025-07-24T11:09:47.602+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTR
[2025-07-24T11:09:47.624+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CSV
[2025-07-24T11:09:47.688+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTG
[2025-07-24T11:09:47.694+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTS
[2025-07-24T11:09:47.708+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTF
[2025-07-24T11:09:47.760+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DAH
[2025-07-24T11:09:47.787+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CTI
[2025-07-24T11:09:47.848+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBC
[2025-07-24T11:09:47.927+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho D2D
[2025-07-24T11:09:48.052+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho CVT
[2025-07-24T11:09:48.057+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBT
[2025-07-24T11:09:48.174+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DBD
[2025-07-24T11:09:48.202+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DAT
[2025-07-24T11:09:48.328+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DC4
[2025-07-24T11:09:48.344+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DCM
[2025-07-24T11:09:48.443+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHA
[2025-07-24T11:09:48.444+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DGW
[2025-07-24T11:09:48.510+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHG
[2025-07-24T11:09:48.645+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DIG
[2025-07-24T11:09:48.716+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHC
[2025-07-24T11:09:48.750+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DCL
[2025-07-24T11:09:48.796+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DGC
[2025-07-24T11:09:48.931+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPG
[2025-07-24T11:09:48.936+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DHM
[2025-07-24T11:09:48.940+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPM
[2025-07-24T11:09:48.994+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DMC
[2025-07-24T11:09:49.015+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DLG
[2025-07-24T11:09:49.074+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DPR
[2025-07-24T11:09:49.113+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DQC
[2025-07-24T11:09:49.126+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRC
