[2025-08-27T08:02:43.809+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-27T08:02:43.828+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-13T08:15:00+00:00 [up_for_retry]>
[2025-08-27T08:02:43.838+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-13T08:15:00+00:00 [up_for_retry]>
[2025-08-27T08:02:43.839+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 11
[2025-08-27T08:02:43.852+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-08-13 08:15:00+00:00
[2025-08-27T08:02:43.861+0000] {standard_task_runner.py:63} INFO - Started process 1499333 to run task
[2025-08-27T08:02:43.865+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveeboardcq', 'save_database_1D', 'scheduled__2025-08-13T08:15:00+00:00', '--job-id', '28187', '--raw', '--subdir', 'DAGS_FOLDER/dag_eboard_cq.py', '--cfg-path', '/tmp/tmp7nfxcqe0']
[2025-08-27T08:02:43.868+0000] {standard_task_runner.py:91} INFO - Job 28187: Subtask save_database_1D
[2025-08-27T08:02:43.927+0000] {task_command.py:426} INFO - Running <TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-13T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-27T08:02:44.030+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveeboardcq' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-08-13T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-13T08:15:00+00:00'
[2025-08-27T08:02:44.031+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-27T08:02:44.046+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-27T08:02:48.122+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-27T08:02:48.312+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-27T08:02:48.465+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-27T08:02:50.891+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-27T08:02:50.998+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-27T08:02:51.571+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-27T08:02:53.884+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-27T08:02:54.241+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-27T08:02:54.418+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-27T08:02:57.145+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-27T08:02:57.454+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-27T08:02:57.554+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-08-27T08:02:59.879+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-08-27T08:03:00.394+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-08-27T08:03:00.520+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-08-27T08:03:03.177+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-08-27T08:03:03.907+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-08-27T08:03:03.924+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-08-27T08:03:05.944+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-08-27T08:03:07.007+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-08-27T08:03:07.253+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-08-27T08:03:09.051+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-08-27T08:03:09.826+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-08-27T08:03:09.838+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-08-27T08:03:12.062+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-08-27T08:03:13.355+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
