[2025-08-27T07:36:09.840+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-27T07:36:09.860+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-11T08:15:00+00:00 [queued]>
[2025-08-27T07:36:09.873+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-11T08:15:00+00:00 [queued]>
[2025-08-27T07:36:09.873+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-27T07:36:09.885+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-08-11 08:15:00+00:00
[2025-08-27T07:36:09.894+0000] {standard_task_runner.py:63} INFO - Started process 1498882 to run task
[2025-08-27T07:36:09.902+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveeboardcq', 'save_database_1D', 'scheduled__2025-08-11T08:15:00+00:00', '--job-id', '28182', '--raw', '--subdir', 'DAGS_FOLDER/dag_eboard_cq.py', '--cfg-path', '/tmp/tmp2m9eh8wm']
[2025-08-27T07:36:09.915+0000] {standard_task_runner.py:91} INFO - Job 28182: Subtask save_database_1D
[2025-08-27T07:36:09.987+0000] {task_command.py:426} INFO - Running <TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-11T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-27T07:36:10.632+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveeboardcq' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-08-11T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-11T08:15:00+00:00'
[2025-08-27T07:36:10.634+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-27T07:36:10.667+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-27T07:36:13.474+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-27T07:36:16.327+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-27T07:36:17.015+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-27T07:36:17.058+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-27T07:36:18.961+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-27T07:36:20.190+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-27T07:36:22.088+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-27T07:36:22.921+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-27T07:36:23.311+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-27T07:36:25.579+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-27T07:36:26.495+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-08-27T07:36:26.816+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-27T07:36:28.356+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-08-27T07:36:29.127+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-08-27T07:36:29.592+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-08-27T07:36:31.544+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-08-27T07:36:32.729+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-08-27T07:36:32.884+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-08-27T07:36:34.010+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-08-27T07:36:35.408+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-08-27T07:36:35.896+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-08-27T07:36:37.138+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-08-27T07:36:38.270+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-08-27T07:36:38.764+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-08-27T07:36:41.556+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCG
[2025-08-27T07:36:42.252+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
[2025-08-27T07:36:43.373+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-08-27T07:36:44.439+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCM
[2025-08-27T07:36:44.995+0000] {History_Day.py:51} INFO - ✅ Đã lưu BFC
[2025-08-27T07:36:46.392+0000] {History_Day.py:51} INFO - ✅ Đã lưu BHN
[2025-08-27T07:36:47.704+0000] {History_Day.py:51} INFO - ✅ Đã lưu BIC
[2025-08-27T07:36:48.056+0000] {History_Day.py:51} INFO - ✅ Đã lưu BID
[2025-08-27T07:36:49.079+0000] {History_Day.py:51} INFO - ✅ Đã lưu BKG
[2025-08-27T07:36:51.410+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMC
[2025-08-27T07:36:51.800+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMI
[2025-08-27T07:36:52.762+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMP
[2025-08-27T07:36:54.398+0000] {History_Day.py:51} INFO - ✅ Đã lưu BRC
[2025-08-27T07:36:54.706+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSI
[2025-08-27T07:36:55.850+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSR
[2025-08-27T07:36:57.476+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTP
[2025-08-27T07:36:58.180+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTT
[2025-08-27T07:36:59.119+0000] {History_Day.py:51} INFO - ✅ Đã lưu BVH
[2025-08-27T07:37:00.427+0000] {History_Day.py:51} INFO - ✅ Đã lưu BWE
[2025-08-27T07:37:01.099+0000] {History_Day.py:51} INFO - ✅ Đã lưu C32
[2025-08-27T07:37:02.407+0000] {History_Day.py:51} INFO - ✅ Đã lưu C47
[2025-08-27T07:37:03.440+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCI
[2025-08-27T07:37:04.203+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCL
[2025-08-27T07:37:05.327+0000] {History_Day.py:51} INFO - ✅ Đã lưu CDC
[2025-08-27T07:37:06.415+0000] {History_Day.py:51} INFO - ✅ Đã lưu CHP
[2025-08-27T07:37:07.253+0000] {History_Day.py:51} INFO - ✅ Đã lưu CIG
[2025-08-27T07:37:08.986+0000] {History_Day.py:51} INFO - ✅ Đã lưu CII
[2025-08-27T07:37:09.132+0000] {History_Day.py:51} INFO - ✅ Đã lưu CKG
[2025-08-27T07:37:10.442+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLC
[2025-08-27T07:37:12.312+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLL
[2025-08-27T07:37:12.462+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLW
[2025-08-27T07:37:13.718+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMG
[2025-08-27T07:37:15.500+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMV
[2025-08-27T07:37:15.812+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMX
[2025-08-27T07:37:16.884+0000] {History_Day.py:51} INFO - ✅ Đã lưu CNG
[2025-08-27T07:37:18.976+0000] {History_Day.py:51} INFO - ✅ Đã lưu CRC
[2025-08-27T07:37:19.054+0000] {History_Day.py:51} INFO - ✅ Đã lưu COM
