[2025-07-31T08:15:01.640+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T08:15:01.655+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-07-31T08:15:01.663+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-07-31T08:15:01.663+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-07-31T08:15:01.676+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-30 08:15:00+00:00
[2025-07-31T08:15:01.686+0000] {standard_task_runner.py:63} INFO - Started process 91735 to run task
[2025-07-31T08:15:01.692+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-30T08:15:00+00:00', '--job-id', '1626', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp8xpg63zy']
[2025-07-31T08:15:01.697+0000] {standard_task_runner.py:91} INFO - Job 1626: Subtask save_database_1D
[2025-07-31T08:15:01.754+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [running]> on host 85cf6d18c15a
[2025-07-31T08:15:02.081+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-30T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-30T08:15:00+00:00'
[2025-07-31T08:15:02.082+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-31T08:15:02.094+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-31T08:15:08.323+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-07-31T08:15:09.000+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-07-31T08:15:09.078+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-07-31T08:15:11.553+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-07-31T08:15:13.395+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-07-31T08:15:14.340+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-07-31T08:15:16.630+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-07-31T08:15:18.609+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-07-31T08:15:18.796+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-07-31T08:15:21.700+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-07-31T08:15:22.497+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-07-31T08:15:23.862+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-07-31T08:15:26.495+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-07-31T08:15:27.157+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-07-31T08:15:28.817+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-07-31T08:15:31.184+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-07-31T08:15:32.436+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-07-31T08:15:34.139+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-07-31T08:15:35.397+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-07-31T08:15:36.477+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-07-31T08:15:38.274+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-07-31T08:15:40.721+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-07-31T08:15:41.390+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-07-31T08:15:42.844+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-07-31T08:15:46.321+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-07-31T08:15:46.647+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
[2025-07-31T08:15:47.580+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCG
[2025-07-31T08:15:51.140+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCM
[2025-07-31T08:15:51.744+0000] {History_Day.py:51} INFO - ✅ Đã lưu BFC
[2025-07-31T08:15:52.713+0000] {History_Day.py:51} INFO - ✅ Đã lưu BHN
[2025-07-31T08:15:56.340+0000] {History_Day.py:51} INFO - ✅ Đã lưu BIC
[2025-07-31T08:15:56.787+0000] {History_Day.py:51} INFO - ✅ Đã lưu BID
[2025-07-31T08:15:57.290+0000] {History_Day.py:51} INFO - ✅ Đã lưu BKG
[2025-07-31T08:16:01.647+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMC
[2025-07-31T08:16:02.168+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMI
[2025-07-31T08:16:02.892+0000] {History_Day.py:51} INFO - ✅ Đã lưu BMP
[2025-07-31T08:16:06.872+0000] {History_Day.py:51} INFO - ✅ Đã lưu BRC
[2025-07-31T08:16:07.397+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSI
[2025-07-31T08:16:07.949+0000] {History_Day.py:51} INFO - ✅ Đã lưu BSR
[2025-07-31T08:16:11.861+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTP
[2025-07-31T08:16:12.209+0000] {History_Day.py:51} INFO - ✅ Đã lưu BTT
[2025-07-31T08:16:13.248+0000] {History_Day.py:51} INFO - ✅ Đã lưu BVH
[2025-07-31T08:16:16.585+0000] {History_Day.py:51} INFO - ✅ Đã lưu BWE
[2025-07-31T08:16:17.320+0000] {History_Day.py:51} INFO - ✅ Đã lưu C32
[2025-07-31T08:16:18.450+0000] {History_Day.py:51} INFO - ✅ Đã lưu C47
[2025-07-31T08:16:21.646+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCI
[2025-07-31T08:16:22.372+0000] {History_Day.py:51} INFO - ✅ Đã lưu CCL
[2025-07-31T08:16:23.821+0000] {History_Day.py:51} INFO - ✅ Đã lưu CDC
[2025-07-31T08:16:26.726+0000] {History_Day.py:51} INFO - ✅ Đã lưu CHP
[2025-07-31T08:16:27.383+0000] {History_Day.py:51} INFO - ✅ Đã lưu CIG
[2025-07-31T08:16:28.854+0000] {History_Day.py:51} INFO - ✅ Đã lưu CII
[2025-07-31T08:16:30.873+0000] {History_Day.py:51} INFO - ✅ Đã lưu CKG
[2025-07-31T08:16:32.308+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLC
[2025-07-31T08:16:33.602+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLL
[2025-07-31T08:16:35.766+0000] {History_Day.py:51} INFO - ✅ Đã lưu CLW
[2025-07-31T08:16:37.540+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMG
[2025-07-31T08:16:38.956+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMV
[2025-07-31T08:16:39.535+0000] {History_Day.py:51} INFO - ✅ Đã lưu CMX
[2025-07-31T08:16:41.850+0000] {History_Day.py:51} INFO - ✅ Đã lưu CNG
[2025-07-31T08:16:43.897+0000] {History_Day.py:51} INFO - ✅ Đã lưu CRC
[2025-07-31T08:16:43.940+0000] {History_Day.py:51} INFO - ✅ Đã lưu COM
[2025-07-31T08:16:46.668+0000] {History_Day.py:51} INFO - ✅ Đã lưu CRE
[2025-07-31T08:16:48.810+0000] {History_Day.py:51} INFO - ✅ Đã lưu CSM
[2025-07-31T08:16:48.888+0000] {History_Day.py:51} INFO - ✅ Đã lưu CSV
[2025-07-31T08:16:50.113+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTD
[2025-07-31T08:16:53.276+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTF
[2025-07-31T08:16:53.849+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTG
[2025-07-31T08:16:54.957+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTI
[2025-07-31T08:16:57.945+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTR
[2025-07-31T08:16:58.855+0000] {History_Day.py:51} INFO - ✅ Đã lưu CTS
[2025-07-31T08:16:59.901+0000] {History_Day.py:51} INFO - ✅ Đã lưu CVT
[2025-07-31T08:17:02.705+0000] {History_Day.py:51} INFO - ✅ Đã lưu D2D
[2025-07-31T08:17:03.498+0000] {History_Day.py:51} INFO - ✅ Đã lưu DAH
[2025-07-31T08:17:04.382+0000] {History_Day.py:51} INFO - ✅ Đã lưu DAT
[2025-07-31T08:17:07.508+0000] {History_Day.py:51} INFO - ✅ Đã lưu DBC
[2025-07-31T08:17:08.057+0000] {History_Day.py:51} INFO - ✅ Đã lưu DBD
[2025-07-31T08:17:09.498+0000] {History_Day.py:51} INFO - ✅ Đã lưu DBT
[2025-07-31T08:17:12.464+0000] {History_Day.py:51} INFO - ✅ Đã lưu DC4
[2025-07-31T08:17:13.374+0000] {History_Day.py:51} INFO - ✅ Đã lưu DCL
[2025-07-31T08:17:14.177+0000] {History_Day.py:51} INFO - ✅ Đã lưu DCM
[2025-07-31T08:17:17.043+0000] {History_Day.py:51} INFO - ✅ Đã lưu DGC
[2025-07-31T08:17:18.093+0000] {History_Day.py:51} INFO - ✅ Đã lưu DGW
[2025-07-31T08:17:19.350+0000] {History_Day.py:51} INFO - ✅ Đã lưu DHA
[2025-07-31T08:17:20.945+0000] {History_Day.py:51} INFO - ✅ Đã lưu DHC
[2025-07-31T08:17:23.306+0000] {History_Day.py:51} INFO - ✅ Đã lưu DHG
[2025-07-31T08:17:24.432+0000] {History_Day.py:51} INFO - ✅ Đã lưu DHM
[2025-07-31T08:17:26.159+0000] {History_Day.py:51} INFO - ✅ Đã lưu DIG
[2025-07-31T08:17:28.049+0000] {History_Day.py:51} INFO - ✅ Đã lưu DLG
[2025-07-31T08:17:29.303+0000] {History_Day.py:51} INFO - ✅ Đã lưu DMC
[2025-07-31T08:17:30.885+0000] {History_Day.py:51} INFO - ✅ Đã lưu DPG
[2025-07-31T08:17:33.160+0000] {History_Day.py:51} INFO - ✅ Đã lưu DPM
[2025-07-31T08:17:34.321+0000] {History_Day.py:51} INFO - ✅ Đã lưu DPR
[2025-07-31T08:17:36.162+0000] {History_Day.py:51} INFO - ✅ Đã lưu DQC
[2025-07-31T08:17:38.073+0000] {History_Day.py:51} INFO - ✅ Đã lưu DRH
[2025-07-31T08:17:38.175+0000] {History_Day.py:51} INFO - ✅ Đã lưu DRC
[2025-07-31T08:17:41.043+0000] {History_Day.py:51} INFO - ✅ Đã lưu DRL
[2025-07-31T08:17:42.087+0000] {History_Day.py:51} INFO - ✅ Đã lưu DSE
[2025-07-31T08:17:42.217+0000] {History_Day.py:51} INFO - ✅ Đã lưu DSC
[2025-07-31T08:17:45.843+0000] {History_Day.py:51} INFO - ✅ Đã lưu DSN
[2025-07-31T08:17:47.150+0000] {History_Day.py:51} INFO - ✅ Đã lưu DTA
[2025-07-31T08:17:47.224+0000] {History_Day.py:51} INFO - ✅ Đã lưu DTL
[2025-07-31T08:17:51.127+0000] {History_Day.py:51} INFO - ✅ Đã lưu DTT
[2025-07-31T08:17:52.306+0000] {History_Day.py:51} INFO - ✅ Đã lưu DVP
[2025-07-31T08:17:52.460+0000] {History_Day.py:51} INFO - ✅ Đã lưu DXG
[2025-07-31T08:17:55.537+0000] {History_Day.py:51} INFO - ✅ Đã lưu DXS
[2025-07-31T08:17:56.882+0000] {History_Day.py:51} INFO - ✅ Đã lưu E1VFVN30
[2025-07-31T08:17:57.188+0000] {History_Day.py:51} INFO - ✅ Đã lưu DXV
[2025-07-31T08:18:01.208+0000] {History_Day.py:51} INFO - ✅ Đã lưu EIB
[2025-07-31T08:18:01.876+0000] {History_Day.py:51} INFO - ✅ Đã lưu ELC
[2025-07-31T08:18:01.903+0000] {History_Day.py:51} INFO - ✅ Đã lưu EVE
