[2025-08-29T08:15:02.705+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-29T08:15:02.730+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-28T08:15:00+00:00 [queued]>
[2025-08-29T08:15:02.742+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-28T08:15:00+00:00 [queued]>
[2025-08-29T08:15:02.743+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-29T08:15:02.757+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-08-28 08:15:00+00:00
[2025-08-29T08:15:02.766+0000] {standard_task_runner.py:63} INFO - Started process 1851178 to run task
[2025-08-29T08:15:02.770+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-08-28T08:15:00+00:00', '--job-id', '33384', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp0vd4b5sy']
[2025-08-29T08:15:02.773+0000] {standard_task_runner.py:91} INFO - Job 33384: Subtask save_database_1
[2025-08-29T08:15:02.832+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-28T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-29T08:15:02.937+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-08-28T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-28T08:15:00+00:00'
[2025-08-29T08:15:02.940+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-29T08:15:02.964+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-29T08:15:06.374+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-08-29T08:15:09.142+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-08-29T08:15:10.030+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-08-29T08:15:10.372+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-08-29T08:15:13.735+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
[2025-08-29T08:15:15.879+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABS
[2025-08-29T08:15:17.746+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-08-29T08:15:17.893+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-08-29T08:15:19.525+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-08-29T08:15:21.055+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-08-29T08:15:21.814+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-08-29T08:15:22.592+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-08-29T08:15:30.062+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-08-29T08:15:30.941+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-08-29T08:15:31.403+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-08-29T08:15:36.939+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-08-29T08:15:38.578+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-08-29T08:15:39.032+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-08-29T08:15:41.278+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-08-29T08:15:42.331+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-08-29T08:15:45.553+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-08-29T08:15:45.906+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-08-29T08:15:46.613+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
[2025-08-29T08:15:48.392+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-08-29T08:15:50.958+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCE
[2025-08-29T08:15:52.204+0000] {History_Min.py:52} INFO - ✅ Đã lưu BAF
[2025-08-29T08:15:54.416+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCG
[2025-08-29T08:15:57.731+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCM
[2025-08-29T08:15:57.922+0000] {History_Min.py:52} INFO - ✅ Đã lưu BHN
[2025-08-29T08:15:59.056+0000] {History_Min.py:52} INFO - ✅ Đã lưu BFC
[2025-08-29T08:16:03.908+0000] {History_Min.py:52} INFO - ✅ Đã lưu BIC
[2025-08-29T08:16:05.209+0000] {History_Min.py:52} INFO - ✅ Đã lưu BKG
[2025-08-29T08:16:05.581+0000] {History_Min.py:52} INFO - ✅ Đã lưu BID
[2025-08-29T08:16:11.904+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMC
[2025-08-29T08:16:13.715+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMI
[2025-08-29T08:16:14.019+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMP
[2025-08-29T08:16:15.180+0000] {History_Min.py:52} INFO - ✅ Đã lưu BRC
[2025-08-29T08:16:21.623+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTP
[2025-08-29T08:16:22.418+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSI
[2025-08-29T08:16:23.167+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSR
[2025-08-29T08:16:24.178+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTT
[2025-08-29T08:16:28.816+0000] {History_Min.py:52} INFO - ✅ Đã lưu C32
[2025-08-29T08:16:29.814+0000] {History_Min.py:52} INFO - ✅ Đã lưu BVH
[2025-08-29T08:16:30.619+0000] {History_Min.py:52} INFO - ✅ Đã lưu BWE
[2025-08-29T08:16:32.638+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCI
[2025-08-29T08:16:33.677+0000] {History_Min.py:52} INFO - ✅ Đã lưu C47
[2025-08-29T08:16:37.719+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCL
[2025-08-29T08:16:38.426+0000] {History_Min.py:52} INFO - ✅ Đã lưu CHP
[2025-08-29T08:16:39.973+0000] {History_Min.py:52} INFO - ✅ Đã lưu CDC
[2025-08-29T08:16:44.318+0000] {History_Min.py:52} INFO - ✅ Đã lưu CIG
[2025-08-29T08:16:47.370+0000] {History_Min.py:52} INFO - ✅ Đã lưu CKG
[2025-08-29T08:16:48.115+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLC
[2025-08-29T08:16:49.015+0000] {History_Min.py:52} INFO - ✅ Đã lưu CII
[2025-08-29T08:16:50.830+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLW
