[2025-08-27T07:36:07.797+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-27T07:36:07.819+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-08-27T07:36:07.829+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-08-27T07:36:07.830+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-27T07:36:07.847+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-30 08:15:00+00:00
[2025-08-27T07:36:07.865+0000] {standard_task_runner.py:63} INFO - Started process 1498849 to run task
[2025-08-27T07:36:07.876+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveeboardcq', 'save_database_1D', 'scheduled__2025-07-30T08:15:00+00:00', '--job-id', '28176', '--raw', '--subdir', 'DAGS_FOLDER/dag_eboard_cq.py', '--cfg-path', '/tmp/tmp9tdgvtn6']
[2025-08-27T07:36:07.897+0000] {standard_task_runner.py:91} INFO - Job 28176: Subtask save_database_1D
[2025-08-27T07:36:07.989+0000] {task_command.py:426} INFO - Running <TaskInstance: saveeboardcq.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-27T07:36:08.111+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveeboardcq' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-30T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-30T08:15:00+00:00'
[2025-08-27T07:36:08.113+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-27T07:36:08.138+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-27T07:36:10.887+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-27T07:36:12.627+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-27T07:36:12.773+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-27T07:36:13.873+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-27T07:36:15.297+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-27T07:36:15.879+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-27T07:36:18.418+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-27T07:36:18.591+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-27T07:36:18.961+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-27T07:36:21.272+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
[2025-08-27T07:36:22.021+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACL
[2025-08-27T07:36:22.112+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADP
[2025-08-27T07:36:23.986+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADS
[2025-08-27T07:36:24.663+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGG
[2025-08-27T07:36:25.091+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGM
[2025-08-27T07:36:26.919+0000] {History_Day.py:51} INFO - ✅ Đã lưu AGR
[2025-08-27T07:36:27.906+0000] {History_Day.py:51} INFO - ✅ Đã lưu ANV
[2025-08-27T07:36:28.218+0000] {History_Day.py:51} INFO - ✅ Đã lưu APG
[2025-08-27T07:36:29.561+0000] {History_Day.py:51} INFO - ✅ Đã lưu APH
[2025-08-27T07:36:30.905+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASG
[2025-08-27T07:36:31.172+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASM
[2025-08-27T07:36:32.725+0000] {History_Day.py:51} INFO - ✅ Đã lưu ASP
[2025-08-27T07:36:33.694+0000] {History_Day.py:51} INFO - ✅ Đã lưu AST
[2025-08-27T07:36:33.838+0000] {History_Day.py:51} INFO - ✅ Đã lưu BAF
[2025-08-27T07:36:36.690+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCG
[2025-08-27T07:36:37.969+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCE
[2025-08-27T07:36:38.031+0000] {History_Day.py:51} INFO - ✅ Đã lưu BBC
[2025-08-27T07:36:39.488+0000] {History_Day.py:51} INFO - ✅ Đã lưu BCM
